Address,City,County Name,Healthcare Personnel Influenza Vaccination\x0;,Hospital Name,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,Provider Number,State,ZIP Code,% Patients discharged on multiple antipsychotic medications with appropriate justification\x0;,% Post discharge continuing care plan created,% Post discharge continuing care plan transmitted to next level of careprovider upon discharge,Number of Records,Physical-restraint use\x0;ratio (hrs),Post-discharge care,Seclusion ratio (hrs)
809 UNIVERSITY BOULEVARD EAST,TUSCALOOSA,Tuscaloosa,53,D C H REGIONAL MEDICAL CENTER,35.80%,10092,AL,35401,,0.9281,0.8669,1,1.62,Lowest,0.31
604 STONE AVENUE,TALLADEGA,Talladega,42,CITIZENS BMC,Not Available,10101,AL,35160,100,0.9818,0.9745,1,0.21,Lowest,0
701 PRINCETON AVENUE SOUTHWEST,BIRMINGHAM,Jefferson,41,BAPTIST MEDICAL CENTER-PRINCETON,Not Available,10103,AL,35211,,0.8123,0.7545,1,0,Lowest,0
3690 GRANDVIEW PARKWAY,BIRMINGHAM,Jefferson,79,TRINITY MEDICAL CENTER,Not Available,10104,AL,35243,100,1,1,1,0.12,Lowest,0.02
241 ROBERT K WILSON DRIVE,CARROLLTON,Pickens,88,PICKENS COUNTY MEDICAL CENTER,Not Available,10109,AL,35447,,1,0.8182,1,0,Lowest,0
102 CONECUH AVENUE WEST,UNION SPRINGS,Bullock,43,BULLOCK COUNTY HOSPITAL,30.11%,10110,AL,36089,0,0.6404,0.5875,1,0,Lowest,1.23
105 HIGHWAY 80 EAST,DEMOPOLIS,Marengo,Not Available,BRYAN W. WHITFIELD MEMORIAL HOSPITAL,72.22%,10112,AL,36732,,0.9444,0.9444,1,0,Lowest,0
5 MOBILE INFIRMARY CIRCLE,MOBILE,Mobile,5,MOBILE INFIRMARY MEDICAL CENTER,41.96%,10113,AL,36607,0,0.0579,0.0413,1,1.22,Lowest,0.47
995 9TH AVENUE SOUTHWEST,BESSEMER,Jefferson,53,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",57.69%,10114,AL,35022,43.59,0.9819,0.9819,1,5.11,Lowest,0
PO BOX 780,HALEYVILLE,Winston,88,LAKELAND COMMUNITY HOSPITAL,44.00%,10125,AL,35565,,1,1,1,0,Lowest,0
1815 HAND AVENUE,BAY MINETTE,Baldwin,84,NORTH BALDWIN INFIRMARY,62.96%,10129,AL,36507,,0.8862,0.7448,1,0,Lowest,0.04
2010 BROOKWOOD MEDICAL CENTER DRIVE,BIRMINGHAM,Jefferson,64,BROOKWOOD MEDICAL CENTER,45.45%,10139,AL,35209,,0.8057,0.5918,1,0.2,Lowest,0
1701 SOUTH PELHAM ROAD,JACKSONVILLE,Calhoun,93,RMC JACKSONVILLE,Not Available,10146,AL,36265,,0.967,0.9121,1,0,Lowest,0
29 L V STABLER DRIVE,GREENVILLE,Butler,74,L V STABLER MEMORIAL HOSPITAL,Not Available,10150,AL,36037,,1,1,1,0,Lowest,0
201 WEST AVALON AVENUE,MUSCLE SHOALS,Colbert,100,SHOALS HOSPITAL,63.64%,10157,AL,35661,,0.9173,0.8937,1,0.11,Lowest,0.11
315 W HICKORY ST,SYLACAUGA,Talladega,75,COOSA VALLEY MEDICAL CENTER,58.33%,10164,AL,35150,,0.6866,0.6828,1,0,Lowest,0
6869 5TH AVENUE SOUTH,BIRMINGHAM,Jefferson,53,HILL CREST BEHAVIORAL HEALTH SERVICES,40.00%,14000,AL,35212,100,1,0.9982,1,0.01,Lowest,0
3001 SCENIC HIGHWAY,GADSDEN,Etowah,Not Available,MOUNTAIN VIEW HOSPITAL,47.89%,14006,AL,35904,,0.9977,0.9816,1,0.66,Lowest,0.02
1651 RUBY TYLER PARKWAY,TUSCALOOSA,Not Available,62,BRYCE HOSPITAL,Not Available,14007,AL,35404,90.36,0.9956,0.9956,1,0.53,Lowest,0.07
200 UNIVERSITY BLVD,TUSCALOOSA,Tuscaloosa,75,MARY S HARPER GERIATRIC PSYCHIATRY CENTER,46.67%,14012,AL,35401,100,0.9659,0.9659,1,0.05,Lowest,0.09
5800 SOUTHLAND DRIVE,MOBILE,Mobile,63,BAYPOINTE BEHAVIORAL HEALTH,Not Available,14014,AL,36693,23.33,1,1,1,0.18,Lowest,0.06
150 HOSPITAL DRIVE,LUVERNE,Crenshaw,28,BEACON CHILDREN'S HOSPITAL,Not Available,14015,AL,36049,,0.9974,0.9922,1,0.11,Lowest,0.01
"1910 CHEROKEE AVENUE, SW ",CULLMAN,Cullman,98,"SANCTUARY AT THE WOODLANDS, THE",45.38%,14016,AL,35055,,0.9888,0.9496,1,0,Lowest,0
7400 ROPER LANE,DAPHNE,Baldwin,65,EASTPOINTE HOSPITAL,51.61%,14017,AL,36526,50,1,1,1,0.02,Lowest,0.72
"5315 MILLENIUM DRIVE, NW ",HUNTSVILLE,Madison,44,"BEHAVIORAL HEALTHCARE CENTER AT HUNTSVILLE, INC",Not Available,14018,AL,35806,,0.9787,0.9362,1,0,Lowest,0
3260 HOSPITAL DR,JUNEAU,Juneau,84,BARTLETT REGIONAL HOSPITAL,40.54%,20008,AK,99801,,0.8556,0.6333,1,0.84,Lowest,0
2530 DEBARR RD,ANCHORAGE,Anchorage,50,NORTH STAR HOSPITAL,Not Available,24001,AK,99508,,0.9722,0.9431,1,0.08,Lowest,0.69
2800 PROVIDENCE DRIVE,ANCHORAGE,Not Available,77,ALASKA PSYCHIATRIC INSTITUTE,44.38%,24002,AK,99508,,1,0.8857,1,4.23,Lowest,1.03
1111 E. MCDOWELL RD.,PHOENIX,Not Available,95,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,56.82%,30002,AZ,85006,,0.9512,0.9314,1,0.03,Lowest,0
5301 E. GRANT ROAD,TUCSON,Pima,Not Available,TUCSON MEDICAL CENTER,Not Available,30006,AZ,85712,,0.9944,0.8704,1,0,Lowest,0
269 S. CANDY LANE,COTTONWOOD,Not Available,96,VERDE VALLEY MEDICAL CENTER,Not Available,30007,AZ,86326,,1,0.9195,1,0,Lowest,0
1601 W. ST. MARY'S RD.,TUCSON,Pima,100,ST. MARY'S HOSPITAL,43.14%,30010,AZ,85745,,0.9365,0.8763,1,0.02,Lowest,0
350 N. WILMOT RD.,TUCSON,Pima,100,ST JOSEPH'S HOSPITAL,70.37%,30011,AZ,85711,,1,1,1,0.02,Lowest,0
2601 EAST ROOSEVELT STREET,PHOENIX,Maricopa,96,MARICOPA MEDICAL CENTER,34.76%,30022,AZ,85008,56.52,0.943,0.913,1,2.53,Lowest,1.48
1200 N. BEAVER STREET,FLAGSTAFF,Coconino,84,FLAGSTAFF MEDICAL CENTER,59.57%,30023,AZ,86002,,1,0.9705,1,0.08,Lowest,0.09
1800 E. VAN BUREN ST.,PHOENIX,Not Available,51,ST LUKE'S MEDICAL CENTER,51.50%,30037,AZ,85006,,0.9313,0.8578,1,0,Lowest,0
5700 EAST HIGHWAY 90,SIERRA VISTA,Cochise,93,CANYON VISTA MEDICAL CENTER,Not Available,30043,AZ,85635,,0.623,0.5445,1,0.01,Lowest,0.01
5555 W. THUNDERBIRD RD.,GLENDALE,Not Available,97,BANNER THUNDERBIRD MEDICAL CENTER,50.00%,30089,AZ,85306,,0.9594,0.9492,1,0.07,Lowest,0.01
1400 S. DOBSON ROAD,MESA,Maricopa,98,BANNER DEL E. WEBB MEDICAL CENTER,73.58%,30093,AZ,85202,,0.9237,0.9091,1,0.01,Lowest,0
2800 EAST AJO WAY,TUCSON,Pima,93,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS,48.08%,30111,AZ,85713,0,0.5362,0.5312,1,0.1,Lowest,0.14
1551 EAST TANGERINE ROAD,ORO VALLEY,Pima,53,ORO VALLEY HOSPITAL,64.41%,30114,AZ,85755,,1,0.9831,1,0,Lowest,0
1301 SOUTH CRISMON ROAD,MESA,Maricopa,84,"MOUNTAIN VISTA MEDICAL CENTER, LP",50.59%,30121,AZ,85209,,0.8997,0.7536,1,0,Lowest,0
7575 E. EARLL DR.,SCOTTSDALE,Not Available,96,BANNER BEHAVIORAL HEALTH HOSPITAL,49.33%,34004,AZ,85251,,0.9457,0.9371,1,0.04,Lowest,0.01
1800 E. VAN BUREN ST.,PHOENIX,Not Available,92,"ST. LUKE'S BEHAVIORAL HOSPITAL, LP",46.80%,34013,AZ,85006,61,0.9319,0.8355,1,0.07,Lowest,0.15
"1201 SOUTH 7TH AVENUE, STE. 200 ",PHOENIX,Maricopa,26,HAVEN SENIOR HORIZONS,43.06%,34020,AZ,85007,,0.9804,0.8856,1,0,Lowest,0
2500 EAST VAN BUREN STREET,PHOENIX,Maricopa,43,ARIZONA STATE HOSPITAL,Not Available,34021,AZ,85008,,1,1,1,1,Lowest,0.18
6050 NORTH CORONA ROAD,TUCSON,Pima,55,SONORA BEHAVIORAL HEALTH HOSPITAL,47.66%,34022,AZ,85704,6.4,1,0.9986,1,0.06,Lowest,0.03
2187 NORTH VICKEY STREET,FLAGSTAFF,Coconino,78,"GUIDANCE CENTER, THE",50.00%,34023,AZ,86004,97.73,0.99,0.9666,1,0.01,Lowest,0.06
6015 WEST PEORIA  AVENUE,GLENDALE,Maricopa,33,AURORA BEHAVIORAL HEALTH SYSTEM,53.05%,34024,AZ,85302,76.19,0.268,0.2585,1,0.01,Lowest,0
3347 NORTH WINDSONG DRIVE,PRESCOTT VALLEY,Yavapai,48,WINDHAVEN PSYCHIATRIC HOSPITAL,47.69%,34025,AZ,86314,,1,1,1,0.01,Lowest,0.02
3550 EAST PINCHOT AVENUE,PHOENIX,Maricopa,66,VALLEY HOSPITAL,52.63%,34026,AZ,85018,100,1,0.9933,1,0.01,Lowest,0
1920 WEST COMMERCE DRIVE,LAKESIDE,Navajo,78,CHANGEPOINT PSYCHIATRIC HOSPITAL,59.46%,34027,AZ,85929,100,0.936,0.9848,1,0.66,Lowest,0.88
6350 SOUTH MAPLE AVENUE,TEMPE,Maricopa,35,AURORA BEHAVIORAL HEALTHCARE-TEMPE,46.67%,34028,AZ,85283,,0.1776,0.2198,1,0.02,Lowest,0
2190 NORTH GRACE BOULEVARD,CHANDLER,Maricopa,55,OASIS BEHAVIORAL HEALTH HOSPITAL,37.84%,34029,AZ,85225,,0.9898,0.9878,1,0.01,Lowest,0.03
2695 NORTH CRAYCROFT ROAD,TUCSON,Pima,85,PALO VERDE BEHAVIORAL HEALTH,52.00%,34030,AZ,85712,,0.9443,0.8484,1,0.08,Lowest,0.11
2545 WEST QUAIL AVENUE,PHOENIX,Maricopa,28,QUAIL RUN BEHAVIORAL HEALTH,Not Available,34031,AZ,85027,,0.9987,0.9974,1,0.02,Lowest,0.01
PO BOX 738,CLARKSVILLE,Not Available,97,JOHNSON REGIONAL MEDICAL CENTER,75.86%,40002,AR,72830,,0.9783,0.942,1,0.04,Lowest,0.01
3214 E RACE AVE,SEARCY,White,63,WHITE COUNTY MEDICAL CENTER,74.29%,40014,AR,72143,32.35,0.9753,0.8404,1,0.01,Lowest,0
311 MORROW ST N,MENA,Polk,56,MENA REGIONAL HEALTH SYSTEM,Not Available,40015,AR,71953,,0.9789,0.9789,1,0.7,Lowest,0.46
620 N MAIN ST,HARRISON,Boone,100,NORTH ARKANSAS REGIONAL MEDICAL CENTER,Not Available,40017,AR,72601,,0.9939,0.9877,1,0,Lowest,0
1601 NEW CASTLE RD,FORREST CITY,Not Available,72,FORREST CITY MEDICAL CENTER,Not Available,40019,AR,72335,,0.914,0.8978,1,0,Lowest,0
PO BOX 9320,JONESBORO,Not Available,100,ST BERNARDS MEDICAL CENTER,41.03%,40020,AR,72403,,0.9835,0.9793,1,0,Lowest,0
300 WERNER ST PO BOX 29001,HOT SPRINGS,Garland,100,ST VINCENT HOT SPRINGS,42.86%,40026,AR,71903,,0.6621,0.6241,1,0,Lowest,0.2
624 HOSPITAL DR,MOUNTAIN HOME,Baxter,70,BAXTER REGIONAL MEDICAL CENTER,48.89%,40027,AR,72653,,0.3121,0.1667,1,0,Lowest,0
1400 BRADEN STREET,JACKSONVILLE,Pulaski,85,NORTH METRO MEDICAL CENTER,48.98%,40074,AR,72076,96.25,0.9141,0.9063,1,,Lowest,
2302 COLLEGE AVE,CONWAY,Not Available,49,CONWAY REGIONAL MEDICAL CENTER,Not Available,40029,AR,72034,,0.9844,0.9844,1,0,Lowest,0
2801 MEDICAL CENTER DR,POCAHONTAS,Randolph,92,FIVE RIVERS MEDICAL CENTER,Not Available,40047,AR,72455,,0.9768,0.957,1,0,Lowest,0.19
1001 TOWSON AVENUE,FORT SMITH,Sebastian,66,SPARKS REGIONAL MEDICAL CENTER,Not Available,40055,AR,72901,,1,1,1,0.02,Lowest,0
1600 W 40TH AVE,PINE BLUFF,Jefferson,100,JEFFERSON REGIONAL MEDICAL CENTER,66.67%,40071,AR,71603,,0.9936,0.9422,1,0,Lowest,0
1703 N BUERKLE ST,STUTTGART,Arkansas,Not Available,BAPTIST HEALTH MEDICAL CENTER-STUTTGART,Not Available,40072,AR,72160,,,,1,,Lowest,
1910 MALVERN AVE,HOT SPRINGS,Garland,97,NATIONAL PARK MEDICAL CENTER,Not Available,40078,AR,71901,,0.9758,0.9662,1,0,Lowest,0
1 MEDICAL PARK DR,BENTON,Saline,98,SALINE MEMORIAL HOSPITAL,39.47%,40084,AR,72015,,0.431,0.4226,1,,Lowest,
9601 INTERSTATE 630 EXIT 7,LITTLE ROCK,Pulaski,90,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,51.61%,40114,AR,72205,,0.8225,0.7749,1,0,Lowest,0
PO BOX 2197,BATESVILLE,Not Available,Not Available,WHITE RIVER MEDICAL CENTER,38.46%,40119,AR,72503,,0.995,0.9925,1,0.37,Lowest,0.07
300 PROSPECT AVE,HOT SPRINGS,Garland,74,LEVI HOSPITAL,49.22%,40132,AR,71901,93.1,0.9076,0.9891,1,0.5,Lowest,0.02
2001 SOUTH MAIN,HOPE,Hempstead,100,WADLEY REGIONAL MEDICAL CENTER AT HOPE,Not Available,40153,AR,71801,,0.9933,0.9732,1,0,Lowest,0
200 N 3RD ST,DARDANELLE,Yell,55,RIVER VALLEY MEDICAL CENTER,55.00%,41302,AR,72834,,0.9061,0.892,1,2.64,Lowest,0
1015 UNITY RD PO BOX 400,CROSSETT,Ashley,100,ASHLEY COUNTY MEDICAL CENTER,80.77%,41323,AR,71635,,0.9835,0.9835,1,0,Lowest,0
404 S BRADLEY ST,WARREN,Bradley,100,BRADLEY COUNTY MEDICAL CENTER,50.00%,41327,AR,71671,,0.9949,1,1,0,Lowest,0
4253 N CROSSOVER RD PO BOX 9240,FAYETTEVILLE,Washington,55,VISTA HEALTH FAYETTEVILLE,39.61%,44004,AR,72703,,0.9387,0.9318,1,0.15,Lowest,0.49
21 BRIDGEWAY RD,NORTH LITTLE ROCK,Pulaski,99,BRIDGEWAY HOSPITAL,49.24%,44005,AR,72118,,0.9633,0.9498,1,0.05,Lowest,0.1
10301 MAYO RD,BARLING,Sebastian,64,VALLEY BEHAVIORAL HEALTH SYSTEM,52.15%,44006,AR,72923,,0.9958,0.9944,1,0.04,Lowest,0.34
100 RIVENDELL DR,BENTON,Saline,75,RIVENDELL BEHAVIORAL HEALTH SERVICES,40.54%,44007,AR,72019,,0.9691,0.9577,1,0.04,Lowest,0.06
305 S PALM STREET,LITTLE ROCK,Pulaski,100,ARKANSAS STATE HOSPITAL,47.17%,44011,AR,72205,89.32,0.9683,0.9561,1,0.1,Lowest,0.21
1601 MURPHY DR,MAUMELLE,Pulaski,59,UNITED METHODIST BEHAVIORAL HOSPITAL,Not Available,44017,AR,72113,100,0.9975,0.9763,1,0.14,Lowest,0.26
1955 WEST TRUCKER'S DRIVE,FAYETTEVILLE,Washington,79,SPRINGWOODS BEHAVIORAL HEALTH SERVICES,51.60%,44019,AR,72704,,0.9864,0.9827,1,0.07,Lowest,0.13
701 ARKANSAS BOULEVARD SUITE 300,TEXARKANA,Miller,69,RIVERVIEW BEHAVIORAL HEALTH,36.00%,44020,AR,71854,50,0.9813,0.9401,1,0.1,Lowest,0.78
600 NORTH 7TH STREET,WEST MEMPHIS,Crittenden,42,OAKRIDGE BEHAVIORAL CENTER,Not Available,44021,AR,72301,,,,1,,Lowest,
1501 TROUSDALE DRIVE,BURLINGAME,San Mateo,87,PENINSULA MEDICAL CENTER,64.63%,50007,CA,94010,100,1,1,1,0.01,Lowest,0
2400 EAST FOURTH STREET,NATIONAL CITY,San Diego,78,PARADISE VALLEY HOSPITAL,64.21%,50024,CA,91950,,0.9957,0.9665,1,0.05,Lowest,0.02
200 WEST ARBOR DRIVE,SAN DIEGO,San Diego,95,UNIVERSITY OF CALIFORNIA SAN DIEGO MEDICAL CENTER,55.75%,50025,CA,92103,,0.71,0.6828,1,0.06,Lowest,0.39
5555 GROSSMONT CENTER DRIVE BOX 58,LA MESA,San Diego,94,GROSSMONT HOSPITAL,62.12%,50026,CA,91942,92.86,0.9356,0.9236,1,0.07,Lowest,0.01
751 SOUTH BASCOM AVENUE,SAN JOSE,Santa Clara,88,SANTA CLARA VALLEY MEDICAL CENTER,36.08%,50038,CA,95128,100,0.9963,0.9963,1,0.42,Lowest,0
14445 OLIVE VIEW DRIVE,SYLMAR,Los Angeles,66,LAC/OLIVE VIEW-UCLA MEDICAL CENTER,Not Available,50040,CA,91342,,0.967,0.9176,1,4.1,Lowest,1.3
9100 FOOTHILLS BLVD PO BOX 619091,ROSEVILLE,Placer,98,CALIFORNIA PACIFIC MEDICAL CTR-PACIFIC CAMPUS HOSP,65.52%,50047,CA,95747,,1,1,1,0.32,Lowest,0.06
400 W MINERAL KING AVE,VISALIA,Tulare,98,KAWEAH DELTA MEDICAL CENTER,51.18%,50057,CA,93291,,0.8838,0.8822,1,3.62,Lowest,2.31
1100 WEST STEWART DR,ORANGE,Orange,88,ST JOSEPH HOSPITAL,52.80%,50069,CA,92868,0,1,0.6519,1,1.54,Lowest,0.06
4077 5TH AVE CORPORATE HEALTH INFORMATION,SAN DIEGO,San Diego,95,SCRIPPS MERCY HOSPITAL,54.81%,50077,CA,92103,,0.9765,0.9471,1,0.05,Lowest,0.02
1300 W 7TH ST,SAN PEDRO,Los Angeles,77,PROVIDENCE LITTLE CO OF MARY MED CTR SAN PEDRO,51.61%,50078,CA,90732,,0.7521,0.4457,1,0.57,Lowest,0.3
1805 MEDICAL CENTER DRIVE,SAN BERNARDINO,San Bernardino,77,COMMUNITY HOSPITAL OF SAN BERNARDINO,29.59%,50089,CA,92411,72.73,0.5224,0.231,1,0.21,Lowest,0.2
222 W 39TH AVE,SAN MATEO,San Mateo,73,SAN MATEO MEDICAL CENTER,Not Available,50113,CA,94403,65,0.848,0.7696,1,0.52,Lowest,0.36
555 E VALLEY PARKWAY,ESCONDIDO,San Diego,75,PALOMAR HEALTH DOWNTOWN CAMPUS,50.00%,50115,CA,92025,,0.9471,0.4485,1,0.24,Lowest,0.01
18300 ROSCOE BLVD,NORTHRIDGE,Los Angeles,86,NORTHRIDGE HOSPITAL MEDICAL CENTER,48.75%,50116,CA,91325,84.62,0.9886,0.5458,1,0.76,Lowest,0.19
1812 VERDUGO BLVD,GLENDALE,Los Angeles,92,USC VERDUGO HILLS HOSPITAL,32.43%,50124,CA,91209,,1,1,1,0,Lowest,0
1325 COTTONWOOD STREET,WOODLAND,Yolo,100,WOODLAND MEMORIAL HOSPITAL,35.40%,50127,CA,95695,6.05,,,1,0.06,Lowest,0.06
4002 VISTA WAY,OCEANSIDE,San Diego,91,TRI-CITY MEDICAL CENTER,63.39%,50128,CA,92056,32.35,0.8657,0.6528,1,0.34,Lowest,0.03
438 W LAS TUNAS DRIVE,SAN GABRIEL,Los Angeles,96,SAN GABRIEL VALLEY MEDICAL CENTER,35.79%,50132,CA,91776,,0.2237,0.227,1,0,Lowest,0
6245 DE LONGPRE AVE,HOLLYWOOD,Los Angeles,38,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,42.74%,50135,CA,90028,,0.9681,0.8899,1,,Lowest,
23625 W R HOLMAN HIGHWAY,MONTEREY,Monterey,87,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,77.87%,50145,CA,93940,,0.8351,0.6807,1,0.01,Lowest,0
900 HYDE ST,SAN FRANCISCO,San Francisco,92,SAINT FRANCIS MEMORIAL HOSPITAL,48.98%,50152,CA,94109,,0.8682,0.7061,1,0.02,Lowest,0.05
16237 VENTURA BLVD,ENCINO,Los Angeles,82,ENCINO HOSPITAL MEDICAL CENTER,32.26%,50158,CA,91436,,1,1,1,0,Lowest,0
150 WEST ROUTE 66,GLENDORA,Los Angeles,80,GLENDORA COMMUNITY HOSPITAL,37.04%,50205,CA,91740,24.24,0.454,0.4485,1,0.73,Lowest,0
"1001 POTRERO AVENUE, SUITE 2A5 ",SAN FRANCISCO,San Francisco,66,SAN FRANCISCO GENERAL HOSPITAL,47.69%,50228,CA,94110,37.93,1,0.7726,1,0.68,Lowest,3.99
1509 E WILSON TERRACE,GLENDALE,Los Angeles,81,GLENDALE ADVENTIST MEDICAL CENTER,47.60%,50239,CA,91206,56.67,0.9975,0.9352,1,0.48,Lowest,0.35
400 NORTH PEPPER AVENUE,COLTON,Not Available,94,ARROWHEAD REGIONAL MEDICAL CENTER,23.43%,50245,CA,92324,,1,1,1,1.83,Lowest,0.82
901 OLIVE DRIVE,BAKERSFIELD,Kern,92,GOOD SAMARITAN HOSPITAL,Not Available,50257,CA,93308,,1,1,1,0,Lowest,0
350 TERRACINA BLVD,REDLANDS,San Bernardino,82,REDLANDS COMMUNITY HOSPITAL,40.96%,50272,CA,92373,,0.9922,0.9922,1,0.37,Lowest,0
2500 ALHAMBRA AVENUE,MARTINEZ,Contra Costa,88,CONTRA COSTA REGIONAL MEDICAL CENTER,38.57%,50276,CA,94553,84.38,0.9914,0.9654,1,0.62,Lowest,0.85
5555 WEST LAS POSITAS BOULEVARD,PLEASANTON,Alameda,95,VALLEYCARE MEDICAL CENTER,41.77%,50283,CA,94588,,0.9464,0.9167,1,0,Lowest,0
2450 ASHBY AVE,BERKELEY,Alameda,92,ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP,79.39%,50305,CA,94705,73.17,1,1,1,2.41,Lowest,5.15
2500 GRANT ROAD,MOUNTAIN VIEW,Santa Clara,97,EL CAMINO HOSPITAL,71.62%,50308,CA,94040,59.6,0.9973,0.9973,1,0.13,Lowest,0.12
1411 E 31ST STREET,OAKLAND,Alameda,84,HIGHLAND HOSPITAL,31.56%,50320,CA,94602,43.75,0.9118,0.7988,1,0.07,Lowest,0.3
800 SOUTH MAIN STREET,CORONA,Riverside,54,CORONA REGIONAL MEDICAL CENTER,58.52%,50329,CA,92882,98.18,1,0.8376,1,0.03,Lowest,0.01
101 CITY DRIVE SOUTH,ORANGE,Orange,94,UNIVERSITY OF CALIFORNIA IRVINE MED CENTER,44.90%,50348,CA,92868,,0.9509,0.9112,1,0.74,Lowest,0.65
250 BON AIR ROAD PO BOX 8010,GREENBRAE,Marin,94,MARIN GENERAL HOSPITAL,54.55%,50360,CA,94904,93.33,1,0.9851,1,0.17,Lowest,0.36
1200 N STATE ST,LOS ANGELES,Los Angeles,Not Available,LAC+USC MEDICAL CENTER,Not Available,50373,CA,90033,,0.6113,0.3698,1,8.63,Lowest,4.1
1000 W CARSON ST,TORRANCE,Los Angeles,93,LAC/HARBOR-UCLA MED CENTER,Not Available,50376,CA,90509,,0.6043,0.4973,1,1.23,Lowest,0.55
2425 SAMARITAN DRIVE,SAN JOSE,Santa Clara,80,GOOD SAMARITAN HOSPITAL,42.59%,50380,CA,95124,,0.7878,0.7551,1,0,Lowest,0
3033 W ORANGE AVENUE,ANAHEIM,Orange,90,WEST ANAHEIM MEDICAL CENTER,52.38%,50426,CA,92804,98.15,0.881,0.881,1,0,Lowest,0
