Zipcode,Address,Median Age,Household Income,Per Capita Income,Lat,Lng,Bank Count
44276,"Sterling, OH 44276, USA",40.2,52330.0,24753,40.9413645,-81.8333656,6
02740,"New Bedford, MA 02740, USA",37.4,34259.0,20649,35.9130399,-98.12109680000000,0
48084,"Troy, MI 48084, USA",37.0,84331.0,44055,42.5586572,-83.18097760000000,117
75149,"Mesquite, TX 75149, USA",31.8,47739.0,19636,32.758351,-96.6103778,55
37764,"Kodak, TN 37764, USA",41.1,46102.0,22642,35.9848005,-83.6135572,5
57219,"Bristol, SD 57219, USA",50.1,57574.0,22913,45.2963479,-97.8048733,1
79764,"Odessa, TX 79764, USA",34.2,50556.0,21883,31.8840886,-102.4953899,0
76031,"Cleburne, TX 76031, USA",36.1,46714.0,20226,32.3470049,-97.33005300000000,16
52217,"Clutier, IA 52217, USA",47.8,40625.0,22426,42.07293,-92.4011124,1
76950,"Sonora, TX 76950, USA",35.5,53500.0,27732,30.3776869,-100.5296115,0
47926,"Burnettsville, IN 47926, USA",35.9,50469.0,20121,40.7163401,-86.59053710000000,1
83638,"McCall, ID 83638, USA",43.3,53850.0,26119,45.09428220000000,-115.8980516,0
12759,"Loch Sheldrake, NY 12759, USA",30.1,37902.0,13996,41.775259,-74.6576091,9
02056,"Norfolk, MA 02056, USA",42.5,134104.0,43630,30.7527657,-100.5891096,0
95051,"Santa Clara, CA 95051, USA",36.1,100504.0,43487,37.3598283,-121.9814354,172
22027,"Dunn Loring, VA 22027, USA",44.9,187768.0,61580,38.8934705,-77.2203966,199
93954,"San Lucas, CA 93954, USA",31.8,39167.0,12520,36.1184726,-120.9589496,0
77039,"Houston, TX 77039, USA",27.2,38167.0,12255,29.9068387,-95.33639510000000,34
83122,"Grover, WY 83122, USA",36.1,83333.0,28556,42.82182590000000,-110.9566245,0
62613,"Athens, IL 62613, USA",37.8,60284.0,28806,40.0013284,-89.68162080000000,1
13068,"Freeville, NY 13068, USA",44.0,66480.0,30384,42.5014845,-76.3521514,3
71340,"Harrisonburg, LA 71340, USA",33.7,30560.0,19909,31.8200828,-91.851343,2
71331,"Effie, LA 71331, USA",34.3,37109.0,18372,31.2692973,-92.0469151,0
28782,"Tryon, NC 28782, USA",56.9,46713.0,28377,35.2542295,-82.11695500000000,5
59743,"Melrose, MT 59743, USA",57.4,39293.0,27250,45.6898627,-112.6372651,0
73014,"Calumet, OK 73014, USA",39.8,58264.0,26515,35.6172323,-98.1557066,1
24843,"Hensley, WV 24843, USA",60.4,20673.0,14761,37.4731506,-81.7010143,0
14411,"Albion, NY 14411, USA",39.9,42967.0,18461,43.2229834,-78.24761460000000,4
35801,"Huntsville, AL 35801, USA",44.0,59352.0,41807,34.7364493,-86.5501654,68
52315,"Newhall, IA 52315, USA",42.4,61750.0,27831,42.00128840000000,-92.0077316,2
23665,"Hampton, VA 23665, USA",22.2,52313.0,18789,37.0860239,-76.3579401,34
48386,"White Lake, MI 48386, USA",42.9,74321.0,33301,42.6489461,-83.4750241,26
32444,"Lynn Haven, FL 32444, USA",40.2,61233.0,28643,30.2371159,-85.6537627,33
13495,"Yorkville, NY 13495, USA",38.4,48576.0,24413,43.11428660000000,-75.27415570000000,32
12831,"Gansevoort, NY 12831, USA",40.3,71393.0,33481,43.2029076,-73.6771662,1
37067,"Franklin, TN 37067, USA",37.6,95155.0,45675,35.9046545,-86.7718017,75
74456,"Preston, OK 74456, USA",30.6,27750.0,16345,35.7124995,-95.9918507,2
60468,"Peotone, IL 60468, USA",41.5,75000.0,30813,41.3200326,-87.79600670000000,2
54120,"Fence, WI 54120, USA",53.5,31250.0,19959,45.72170090000000,-88.3800868,0
63304,"St Charles, MO 63304, USA",39.8,85329.0,35568,38.70360050000000,-90.6488505,64
22191,"Woodbridge, VA 22191, USA",30.9,79198.0,31401,38.6317233,-77.25201010000000,54
19076,"Prospect Park, PA 19076, USA",36.2,67727.0,26908,39.885086,-75.30914830000000,132
67351,"Liberty, KS 67351, USA",48.1,84250.0,30635,37.1353975,-95.551228,0
62340,"Griggsville, IL 62340, USA",43.8,38036.0,20380,39.7114054,-90.73427340000000,3
75942,"Doucette, TX 75942, USA",38.1,43512.0,15008,30.8182143,-94.4288102,4
56453,"Hewitt, MN 56453, USA",41.0,50089.0,21875,46.3037542,-95.1628544,0
16665,"Newry, PA 16665, USA",43.3,27188.0,19095,40.3922417,-78.4346936,23
43050,"Mt Vernon, OH 43050, USA",41.9,42576.0,23495,40.3521894,-82.5185837,8
85250,"Scottsdale, AZ 85250, USA",48.6,59358.0,39968,33.5243639,-111.8985922,89
25571,"West Hamlin, WV 25571, USA",43.7,36650.0,16769,38.2770826,-82.1822399,5
02145,"Somerville, MA 02145, USA",33.0,55487.0,29355,33.652177,-117.9324575,200
13326,"Cooperstown, NY 13326, USA",50.4,57375.0,35094,42.7284259,-74.89749250000000,7
69334,"Bayard, NE 69334, USA",46.5,43575.0,21241,41.813568,-103.3125299,1
38844,"Gattman, MS 38844, USA",58.9,36071.0,20537,33.8176859,-88.25585250000000,0
64455,"Graham, MO 64455, USA",50.6,43542.0,25407,40.1808346,-94.99744610000000,1
38152,"Memphis, TN 38152, USA",19.8,,2691,35.1242857,-89.9360705,100
85553,"Tonto Basin, AZ 85553, USA",64.6,36442.0,28245,33.8102795,-111.2368084,0
55976,"Stewartville, MN 55976, USA",37.5,53616.0,26641,43.8595945,-92.4801989,4
37923,"Knoxville, TN 37923, USA",37.0,53893.0,30167,35.9276062,-84.0854432,93
16870,"Port Matilda, PA 16870, USA",39.1,84808.0,37320,40.8033255,-78.0880129,0
17214,"Blue Ridge Summit, PA 17214, USA",44.7,52112.0,29722,39.753684,-77.4730653,5
76310,"Wichita Falls, TX 76310, USA",37.2,63646.0,27924,33.7928627,-98.5062007,9
01922,"Byfield, MA 01922, USA",44.4,109301.0,40983,38.30352260000000,-85.0085446,0
75783,"Quitman, TX 75783, USA",45.1,40322.0,23210,32.8260186,-95.435853,3
93605,"Big Creek, CA 93605, USA",49.2,84375.0,34293,37.1890642,-119.2437011,0
73743,"Hillsdale, OK 73743, USA",42.5,50000.0,24770,36.5664065,-97.99334880000000,0
37080,"Joelton, TN 37080, USA",44.3,61824.0,25231,36.3319963,-86.9223432,1
40769,"Williamsburg, KY 40769, USA",36.9,27221.0,14298,36.7434075,-84.1598641,9
70748,"Jackson, LA 70748, USA",43.0,41489.0,17350,30.8328549,-91.20252070000000,2
98101,"Seattle, WA 98101, USA",43.0,42938.0,61716,47.6084921,-122.336407,200
61604,"Peoria, IL 61604, USA",36.8,40630.0,21137,40.70014160000000,-89.6581073,51
06444,"Marion, CT 06444, USA",29.7,103636.0,22178,46.9923621,-123.430144,3
07082,"Towaco, NJ 07082, USA",45.9,129432.0,59216,47.9623949,-92.8937893,0
57658,"Wakpala, SD 57658, USA",33.5,15833.0,7979,45.6837886,-100.538779,0
98270,"Marysville, WA 98270, USA",35.2,65130.0,26833,48.0563616,-122.1492224,41
95237,"Lockeford, CA 95237, USA",38.7,44542.0,22400,38.160627,-121.1424001,2
00624,"Peñuelas, 00624, Puerto Rico",34.2,14768.0,6761,39.937995,-76.5326046,4
56529,"Dilworth, MN 56529, USA",32.2,46116.0,21554,46.8772685,-96.6962754,30
28618,"Deep Gap, NC 28618, USA",44.3,41929.0,23581,36.2119208,-81.52672820000000,1
66052,"Linwood, KS 66052, USA",42.8,57848.0,27076,39.0141289,-95.0494602,0
74066,"Sapulpa, OK 74066, USA",38.9,44675.0,22844,35.9980959,-96.13149280000000,15
68147,"Bellevue, NE 68147, USA",33.0,53997.0,22024,41.1775208,-95.9515399,59
02543,"Woods Hole, MA 02543, USA",49.7,66250.0,50348,38.5324071,-82.6953898,39
45780,"The Plains, OH 45780, USA",41.0,33892.0,17139,39.3676641,-82.1305609,18
67849,"Hanston, KS 67849, USA",43.0,63214.0,26015,38.146514,-99.70097540000000,1
37191,"Woodlawn, TN 37191, USA",39.3,63393.0,28185,36.5197091,-87.55936130000000,0
15937,"Jerome, PA 15937, USA",45.7,65000.0,24503,40.2084869,-78.9885845,3
25559,"Salt Rock, WV 25559, USA",41.9,55120.0,22464,38.3233363,-82.2474648,2
92115,"San Diego, CA 92115, USA",27.5,41866.0,21011,32.7612759,-117.0735241,110
37743,"Greeneville, TN 37743, USA",44.8,34855.0,19552,36.0941226,-82.8640623,4
85353,"Tolleson, AZ 85353, USA",26.7,50066.0,16046,33.4169563,-112.274168,38
56358,"Ogilvie, MN 56358, USA",41.2,49091.0,20779,45.8325877,-93.464192,0
58494,"Wing, ND 58494, USA",42.2,48500.0,29216,47.1813085,-100.3049045,1
23832,"Chesterfield, VA 23832, USA",37.2,75942.0,31379,37.3976686,-77.5963271,27
29170,"West Columbia, SC 29170, USA",36.8,56415.0,25261,33.934921,-81.1526976,16
05301,"Guilford, VT 05301, USA",44.1,49552.0,28510,46.6782059,-115.609296,0
26807,"Franklin, WV 26807, USA",45.6,36550.0,20860,38.6518998,-79.4028639,3
27549,"Louisburg, NC 27549, USA",40.3,36969.0,20001,36.0730279,-78.24761460000000,7
60091,"Wilmette, IL 60091, USA",43.8,129551.0,67089,42.08057430000000,-87.7320368,140
57429,"Brentford, SD 57429, USA",36.1,40000.0,20763,45.1612271,-98.3147793,0
07724,"Eatontown, NJ 07724, USA",41.7,78064.0,39958,31.8704128,-85.9890392,2
78611,"Burnet, TX 78611, USA",44.6,48409.0,23381,30.7699023,-98.265058,7
58503,"Bismarck, ND 58503, USA",37.3,81341.0,38377,46.8871785,-100.7209975,17
47232,"Elizabethtown, IN 47232, USA",37.4,60128.0,21838,39.1100449,-85.7974141,0
00730,"Ponce, 00730, Puerto Rico",37.0,16259.0,9768,45.9142089,-119.2773764,4
34209,"Bradenton, FL 34209, USA",54.1,51572.0,28711,27.5073732,-82.63754020000000,66
01469,"Townsend, MA 01469, USA",40.4,78985.0,34037,37.3032872,-82.6466401,2
96084,"Round Mountain, CA 96084, USA",55.0,31897.0,23506,40.9048101,-122.0229676,0
21750,"Hancock, MD 21750, USA",38.6,47857.0,21608,39.6931059,-78.2703951,2
42025,"Benton, KY 42025, USA",43.2,42310.0,21348,36.8138037,-88.362785,9
93637,"Madera, CA 93637, USA",29.5,48974.0,17449,36.9152938,-120.2051096,0
03448,"Gilsum, NH 03448, USA",50.8,45417.0,26556,36.8490936,-83.4780806,1
25442,"Shenandoah Junction, WV 25442, USA",35.0,73949.0,31249,39.371522,-77.8252923,8
05261,"Pownal, VT 05261, USA",45.0,56667.0,25144,48.5848181,-114.3947858,0
04107,"Cape Elizabeth, ME 04107, USA",48.4,98629.0,53526,32.1603975,-94.92788390000000,0
85743,"Tucson, AZ 85743, USA",41.2,69577.0,32411,32.3324642,-111.2129616,0
68317,"Bennet, NE 68317, USA",40.4,79063.0,30851,40.67409360000000,-96.5143087,1
05658,"Marshfield, VT 05658, USA",41.6,43958.0,22443,46.606687,-114.584356,0
42031,"Clinton, KY 42031, USA",49.1,32123.0,18442,36.6699583,-88.99880980000000,2
14131,"Ransomville, NY 14131, USA",47.9,57500.0,27970,43.2320594,-78.9061921,1
60622,"Chicago, IL 60622, USA",31.1,68923.0,43393,41.9013087,-87.68276760000000,200
97389,"Tangent, OR 97389, USA",36.5,46250.0,21717,44.5277138,-123.0941587,0
56726,"Greenbush, MN 56726, USA",42.2,52235.0,27445,48.752125,-96.22979990000000,1
68930,"Blue Hill, NE 68930, USA",44.7,44643.0,22939,40.2860295,-98.4403573,1
35475,"Northport, AL 35475, USA",33.9,69924.0,28117,33.4368605,-87.55936130000000,0
57315,"Avon, SD 57315, USA",40.3,44813.0,21359,42.9871112,-98.06834300000000,1
51448,"Kiron, IA 51448, USA",40.8,44219.0,22819,42.2111665,-95.33116520000000,1
27853,"Margarettsville, NC 27853, USA",42.8,25966.0,11178,36.5219992,-77.3209555,0
12942,"Keene, NY 12942, USA",44.4,42188.0,24003,44.266991,-73.7767398,1
25401,"Martinsburg, WV 25401, USA",34.7,36600.0,21158,39.4529363,-77.9681544,30
12429,"Esopus, NY 12429, USA",38.7,114129.0,43122,41.82143020000000,-73.96243270000000,8
23602,"Newport News, VA 23602, USA",36.7,61343.0,30030,37.1120848,-76.5372625,52
11220,"Brooklyn, NY 11220, USA",32.4,37580.0,16263,40.6385229,-74.0153231,200
03276,"Tilton, NH 03276, USA",41.9,58449.0,25690,32.2819566,-93.785344,3
49269,"Parma, MI 49269, USA",43.0,48185.0,24291,42.2859231,-84.5850997,0
14807,"Arkport, NY 14807, USA",48.0,45821.0,23042,42.4169882,-77.7223162,4
06062,"Plainville, CT 06062, USA",42.4,60630.0,32531,36.212288,-92.48729650000000,0
77031,"Houston, TX 77031, USA",30.5,39278.0,17932,29.6558257,-95.54597870000000,115
60018,"Des Plaines, IL 60018, USA",39.9,54688.0,25289,42.0144814,-87.8991514,138
72036,"Cotton Plant, AR 72036, USA",47.0,22361.0,13850,35.0101733,-91.26984750000000,0
34224,"Englewood, FL 34224, USA",60.1,39645.0,24929,26.9288268,-82.31262940000000,17
50525,"Clarion, IA 50525, USA",42.2,39200.0,25499,42.76244580000000,-93.7841503,5
58369,"St John, ND 58369, USA",38.9,29375.0,17469,48.9696899,-99.7917612,0
77434,"Eagle Lake, TX 77434, USA",34.2,35105.0,16735,29.5219585,-96.3438785,1
78941,"Flatonia, TX 78941, USA",45.7,40304.0,23115,29.7574106,-97.1574784,0
12723,"Callicoon, NY 12723, USA",43.2,58102.0,25249,41.7682361,-75.0026972,5
48221,"Detroit, MI 48221, USA",39.6,38588.0,20123,42.4349152,-83.15417960000000,75
2717,"East Freetown, MA 02717, USA",42.8,81150.0,32987,35.6658534,-80.90188480000000,3
78565,"Los Ebanos, TX 78565, USA",41.3,8611.0,5960,26.2378647,-98.5583676,4
06883,"Weston, CT 06883, USA",42.5,207262.0,90552,51.9883654,5.9968287,34
07606,"South Hackensack, NJ 07606, USA",39.4,68750.0,33300,47.3678082,-124.2306407,1
08234,"Egg Harbor Township, NJ 08234, USA",39.3,71316.0,29387,47.3908128,15.9799981,13
68947,"Hildreth, NE 68947, USA",45.5,56250.0,33158,40.2577563,-99.0792263,0
23228,"Henrico, VA 23228, USA",35.1,44224.0,23998,37.6164453,-77.4816693,116
61013,"Cedarville, IL 61013, USA",50.2,55000.0,27283,42.37172960000000,-89.63163760000000,3
63138,"St. Louis, MO 63138, USA",30.3,33691.0,17488,38.7994436,-90.20571080000000,17
25414,"Charles Town, WV 25414, USA",40.1,72833.0,32308,39.2536087,-77.8710285,12
69101,"North Platte, NE 69101, USA",38.4,45156.0,25867,41.2169959,-100.7548851,3
16029,"East Butler, PA 16029, USA",40.0,41875.0,22128,40.8756815,-79.841579,18
76706,"Waco, TX 76706, USA",22.6,26398.0,14613,31.456042,-97.0713572,1
11385,"Ridgewood, NY 11385, USA",35.0,50799.0,23272,40.6980708,-73.8948295,200
66614,"Topeka, KS 66614, USA",38.8,53673.0,30118,39.013101,-95.85121,18
12148,"Rexford, NY 12148, USA",44.2,107540.0,44237,42.840262,-73.8536683,56
27822,"Elm City, NC 27822, USA",43.6,46250.0,21943,35.7978006,-77.85959630000000,7
72680,"Timbo, AR 72680, USA",46.6,28750.0,23495,35.8825209,-92.2925911,0
85233,"Gilbert, AZ 85233, USA",34.7,75365.0,32900,33.3519301,-111.8210866,120
27826,"Fairfield, NC 27826, USA",49.4,38362.0,16651,35.5738935,-76.2015572,1
94556,"Moraga, CA 94556, USA",47.4,120960.0,62600,37.8357202,-122.1178261,34
91207,"Glendale, CA 91207, USA",45.6,91005.0,47259,34.1893001,-118.2702036,134
27298,"Liberty, NC 27298, USA",45.4,43097.0,23966,35.874799,-79.582819,5
59201,"Wolf Point, MT 59201, USA",30.8,42699.0,17624,48.379169,-105.6163785,0
67839,"Dighton, KS 67839, USA",46.8,49773.0,30282,38.4456222,-100.3497895,0
16153,"Stoneboro, PA 16153, USA",44.6,50714.0,22506,41.3229151,-80.08701550000000,2
28395,"Wade, NC 28395, USA",39.5,39813.0,23319,35.14014970000000,-78.7589558,1
92543,"Hemet, CA 92543, USA",36.5,26909.0,14425,33.6991526,-116.9793554,24
31405,"Savannah, GA 31405, USA",34.6,43051.0,23719,32.0371137,-81.1747498,46
08859,"Parlin, NJ 08859, USA",38.9,79835.0,35353,42.6960673,26.4123787,23
30236,"Jonesboro, GA 30236, USA",33.9,40107.0,21374,33.5213067,-84.3226488,26
65017,"Brumley, MO 65017, USA",44.2,42083.0,19123,38.0582333,-92.4801989,1
98358,"Nordland, WA 98358, USA",51.6,51146.0,28010,48.055251,-122.6957072,4
41073,"Bellevue, KY 41073, USA",37.7,53396.0,26881,39.0992398,-84.47763720000000,171
38229,"Gleason, TN 38229, USA",43.5,36800.0,19886,36.2334,-88.6144839,2
32187,"San Mateo, FL 32187, USA",46.5,30300.0,18933,29.5775097,-81.54867280000000,0
41835,"McRoberts, KY 41835, USA",50.9,43690.0,19524,37.2144212,-82.66454690000000,6
58331,"Egeland, ND 58331, USA",53.5,69792.0,51149,48.6206058,-99.1062244,0
75640,"Diana, TX 75640, USA",42.8,54423.0,22459,32.6978203,-94.70706160000000,1
08540,"Princeton, NJ 08540, USA",37.5,125439.0,61810,39.85177850000000,-106.8455943,0
68005,"Bellevue, NE 68005, USA",34.2,53794.0,25101,41.1596468,-95.9092754,29
18237,"McAdoo, PA 18237, USA",39.1,42140.0,20172,40.8888417,-75.9985693,9
93545,"Lone Pine, CA 93545, USA",40.6,32473.0,18444,36.5131184,-118.0888578,0
31007,"Byromville, GA 31007, USA",41.8,29417.0,14202,32.1773202,-83.94266980000000,0
36688,"Mobile, AL 36688, USA",20.1,,3086,30.6954595,-88.174414,95
22834,"Linville, VA 22834, USA",38.6,40357.0,30224,38.5503911,-78.8722341,1
35956,"Boaz, AL 35956, USA",40.0,46844.0,19615,34.1586286,-86.1141045,11
27288,"Eden, NC 27288, USA",42.5,33800.0,18470,36.4919544,-79.7624177,12
21053,"Freeland, MD 21053, USA",45.5,90361.0,36118,39.6970138,-76.7221082,5
83841,"Laclede, ID 83841, USA",60.8,26618.0,23912,48.1658871,-116.7578804,0
29001,"Alcolu, SC 29001, USA",36.9,33205.0,17998,33.7823236,-80.1651854,0
49874,"Powers, MI 49874, USA",46.9,35729.0,19398,45.74362990000000,-87.4928554,1
57005,"Brandon, SD 57005, USA",34.6,69690.0,27832,43.6196972,-96.59969630000000,5
33496,"Boca Raton, FL 33496, USA",54.2,83138.0,64715,26.4039904,-80.1596041,119
72434,"Imboden, AR 72434, USA",37.2,30625.0,16411,36.2358418,-91.15449630000000,1
71405,"Ball, LA 71405, USA",35.8,55242.0,23941,31.4061799,-92.396174,11
30268,"Palmetto, GA 30268, USA",32.7,47421.0,22939,33.5272883,-84.7106567,1
07603,"Bogota, NJ 07603, USA",38.7,77821.0,31670,40.04441570000000,-81.426818,0
05454,"Fairfax, VT 05454, USA",38.7,74911.0,31192,51.6780439,5.807692000000000,10
49234,"Clarklake, MI 49234, USA",47.3,58250.0,30245,42.1277049,-84.3647199,1
25669,"Crum, WV 25669, USA",44.0,35302.0,16972,37.9381897,-82.4644445,0
20143,"Catharpin, VA 20143, USA",42.8,139938.0,51051,38.8568373,-77.5676735,20
95490,"Willits, CA 95490, USA",46.9,38394.0,22551,39.505272,-123.3486147,0
52560,"Floris, IA 52560, USA",44.6,53472.0,21979,40.8259755,-92.2335066,0
98394,"Vaughn, WA 98394, USA",39.1,57941.0,24595,47.3146613,-122.7741913,1
85262,"Scottsdale, AZ 85262, USA",54.4,125884.0,80227,33.791108,-111.8091625,2
04637,"Grand Lake Stream, ME 04637, USA",65.4,31125.0,33564,29.3444919,-98.9808614,0
03048,"Greenville, NH 03048, USA",43.6,62321.0,28864,32.440078,-91.7286737,5
17737,"Hughesville, PA 17737, USA",42.3,51007.0,24229,41.2806213,-76.6643728,1
14033,"Colden, NY 14033, USA",44.3,81979.0,32764,42.6628737,-78.6909263,1
25165,"Racine, WV 25165, USA",41.1,49886.0,24418,38.1513972,-81.65282190000000,1
13640,"Wellesley Island, NY 13640, USA",62.8,88125.0,48388,44.3125911,-75.9908334,4
59453,"Judith Gap, MT 59453, USA",42.4,38750.0,20918,46.6266707,-109.7628305,0
10803,"Pelham, NY 10803, USA",39.7,140000.0,73808,40.8996475,-73.8036752,185
08324,"Heislerville, NJ 08324, USA",42.5,67772.0,28069,46.98066010000000,15.7416507,7
42762,"Millwood, KY 42762, USA",42.3,30500.0,15664,37.4399698,-86.39341520000000,0
41046,"Glencoe, KY 41046, USA",24.0,37585.0,13209,38.7099232,-84.7889907,0
56343,"Kensington, MN 56343, USA",42.4,48417.0,24153,45.7800013,-95.72099680000000,2
87029,"Lindrith, NM 87029, USA",54.4,29265.0,28152,36.4560808,-106.9594723,0
45646,"Latham, OH 45646, USA",41.3,82604.0,28220,39.0791318,-83.3468784,0
72347,"Hickory Ridge, AR 72347, USA",45.3,31471.0,19479,35.364439,-91.0011902,1
53588,"Spring Green, WI 53588, USA",44.8,58086.0,29862,43.2133937,-90.11206960000000,5
28663,"Piney Creek, NC 28663, USA",39.6,36000.0,20294,36.5401134,-81.30693150000000,0
48659,"Sterling, MI 48659, USA",43.1,44315.0,19879,44.1093153,-83.99558790000000,0
24083,"Daleville, VA 24083, USA",46.4,91295.0,47678,37.4047916,-79.9248669,17
47952,"Kingman, IN 47952, USA",45.5,37232.0,20271,39.9709267,-87.32149080000000,2
34744,"Kissimmee, FL 34744, USA",36.2,45589.0,19455,28.2923689,-81.32893970000000,36
99506,"Joint Base Elmendorf-Richardson, AK 99506, USA",22.0,60753.0,19565,61.27440310000000,-149.7871533,10
69163,"Stapleton, NE 69163, USA",50.4,45481.0,25348,41.5155698,-100.5296115,1
97022,"Eagle Creek, OR 97022, USA",43.9,66927.0,24343,45.3551259,-122.3293482,9
49415,"Fruitport, MI 49415, USA",44.3,51587.0,26853,43.1669959,-86.1141045,8
58466,"Marion, ND 58466, USA",44.5,69844.0,36981,46.5594224,-98.3481542,1
15206,"Pittsburgh, PA 15206, USA",36.6,33792.0,27733,40.4720642,-79.9136731,161
03104,"Manchester, NH 03104, USA",37.6,60468.0,32130,36.7509443,-85.398771,3
04268,"Norway, ME 04268, USA",49.2,38629.0,21431,33.3180778,-94.6184948,0
47670,"Princeton, IN 47670, USA",39.5,45915.0,23971,38.3544747,-87.55936130000000,10
25865,"Lester, WV 25865, USA",38.8,65163.0,25341,37.7252022,-81.36194020000000,1
13335,"Edmeston, NY 13335, USA",41.4,52083.0,22636,42.7015231,-75.27123930000000,1
16636,"Dysart, PA 16636, USA",47.6,42303.0,21236,40.594001,-78.4865602,0
76943,"Ozona, TX 76943, USA",40.0,49643.0,22163,30.5146701,-101.0711758,0
08002,"Cherry Hill, NJ 08002, USA",39.7,68465.0,34026,47.36013760000000,8.5293292,200
72401,"Jonesboro, AR 72401, USA",31.6,34819.0,20130,35.8916172,-90.658333,29
47436,"Heltonville, IN 47436, USA",42.5,42042.0,18000,38.963881,-86.4086061,0
78122,"Leesville, TX 78122, USA",56.6,30610.0,20433,29.41650960000000,-97.6873706,0
74956,"Shady Point, OK 74956, USA",36.4,40652.0,18796,35.0985106,-94.7898731,0
97366,"Newport, OR 97366, USA",58.8,53135.0,36010,44.5772172,-124.053674,11
45684,"Stout, OH 45684, USA",40.8,47517.0,18795,38.6432345,-83.1863358,2
80831,"Peyton, CO 80831, USA",35.0,81000.0,31028,38.9458493,-104.5189214,5
46323,"Hammond, IN 46323, USA",34.6,45478.0,19994,41.5829905,-87.45048880000000,91
62373,"Sutter, IL 62373, USA",42.2,58382.0,22406,40.24020220000000,-91.3083685,0
