Country,Income_Per_Capita,Population (in thousands) total,Population_Median_Age,Percent_Population_over_60,Percent_Goverment_Expenditure_on_Health,Female_Life_Expectancy,Male_Life_Expectancy,Liters_of_Alcohol (Avg. Per year per person),Percent_Population_Access_To_Clean_Water,Cell_phones_per_100_people,Cell_phones_total,Measles_immunization
Brazil,8700,189323,27,9,7.2,62,57,5.76,91,46.3,6.56E+07,99
Brunei Darussalam,49900,382,26,5,5.1,66,65,0.12,,62.3,137000,97
Bulgaria,10270,7693,41,23,11.9,67,63,5.86,99,80.8,4729731,96
Burkina Faso,1130,14359,17,4,15.8,36,35,5.01,72,4.8,398000,84
Burundi,320,8173,17,4,2.3,37,33,9.1,71,2,64000,75
Cambodia,1550,14197,20,5,10.7,49,46,1.48,65,7.5,498388,79
Cameroon,2060,18175,19,5,8.6,42,41,3.77,70,13.8,1536594,68
Canada,36280,32577,39,18,17.9,74,70,7.8,100,52.5,1.50E+07,94
Cape Verde,2590,519,20,5,13.2,63,59,4.78,80,17.2,65780,65
Central African Republic,690,4265,18,6,10.9,38,37,1.53,66,2.5,60000,35
Chad,1170,10468,17,5,9.5,42,40,0.31,48,2.1,123000,23
Chile,11300,16465,31,12,14.1,70,65,6.6,95,67.8,9566581,90
China,4660,1328474,33,11,9.9,65,63,5.2,88,29.9,3.35E+08,86
Colombia,6130,45558,26,8,17,66,58,5.68,93,47.9,1.04E+07,89
Comoros,1140,818,19,4,8,55,54,0.31,85,2,2000,80
"Congo, Dem. Rep.",270,60644,16,4,7.2,39,35,1.86,46,4.8,1000000,70
"Congo, Rep.",2420,3689,19,5,4,47,45,2.6,71,12.3,383653,56
Cook Islands,,14,,8,12.4,63,61,3.73,95,,,
Costa Rica,9220,4399,26,8,21.5,69,65,5.65,98,25.4,923084,89
Cote d'Ivoire,1580,18914,19,5,4.1,41,38,1.77,81,12.9,1531846,51
Croatia,13850,4556,41,22,13.9,69,64,12.25,99,80.2,2553000,96
Cuba,,11267,36,16,10.8,70,67,2.26,91,1.2,75797,98
Cyprus,25060,846,35,17,6.4,68,67,11.52,100,86.1,640515,86
Czech Republic,20920,10189,39,20,13.6,71,66,12.99,100,115.2,1.08E+07,97
Denmark,36190,5430,40,22,15.6,71,69,11.71,100,100.3,5165546,95
Djibouti,2180,819,20,5,13.4,43,43,1.79,92,6.4,23000,65
Dominica,7870,68,,11,9.2,66,62,7.5,97,51.36,36608.25,98
Dominican Republic,5550,9615,24,8,9.5,62,57,6.66,95,40.7,2534063,99
Ecuador,6810,13202,24,9,7.3,64,60,2.36,95,47.2,4544174,93
Egypt,4940,74166,23,7,7.3,60,58,0.21,98,19.1,7643060,98
El Salvador,5610,6762,24,8,15.6,62,57,3.72,84,35,1832579,99
Equatorial Guinea,16620,496,19,6,7,46,45,3.38,43,19.3,55500,51
Eritrea,680,4692,18,4,4.2,51,49,0.59,60,0.9,20000,84
Estonia,18090,1340,39,22,11.3,69,59,9,100,108.8,1255731,96
Ethiopia,630,81021,18,5,10.6,42,41,0.86,42,0.5,178000,59
Fiji,4450,833,24,7,9.1,61,57,1.72,47,24.2,109882,70
Finland,33170,5261,41,22,12.1,74,69,9.31,100,100.4,4988000,97
France,32240,61330,39,21,16.7,75,69,11.43,100,79.5,4.46E+07,87
French Polynesia,,,,,,,,,,46.8,90000,
Gabon,11180,1311,22,7,13.9,53,50,8.01,87,47.1,489367,55
Gambia,1110,1663,20,6,8.7,51,48,2.59,86,16.3,175000,84
Georgia,3880,4433,36,18,5.6,67,62,1.47,99,26.3,840600,92
Germany,32680,82641,42,25,17.6,74,70,11.99,100,95.8,7.13E+07,93
Ghana,1240,23008,20,6,6.8,50,49,1.57,80,13,1695000,83
Greece,30870,11123,40,23,11.5,73,69,9.01,100,92.3,1.10E+07,88
Grenada,8770,106,23,10,9.5,60,58,6.67,94,45.5,37898.88,99
Guatemala,5120,13029,18,6,14.7,60,55,1.46,96,35.8,3168256,77
Guinea,1130,9181,18,5,4.7,46,44,0.2,70,2.4,111500,59
Guinea-Bissau,460,1646,16,5,4,41,40,2.19,57,7.1,1275,80
Guyana,3410,739,27,9,8.3,57,53,3.84,93,37.5,143945,92
Haiti,1070,9446,21,6,29.8,44,43,8.3,58,5.9,400000,54
Honduras,3420,6969,20,6,15,61,56,2.92,84,17.8,707201,92
"Hong Kong, China",,,,,,,,,,123.5,7130099.5,
Hungary,16970,10058,39,21,10.4,68,62,13.6,100,92.3,8727188,99
Iceland,33740,298,35,16,18.1,74,72,6.99,100,103.4,291372,90
India,2460,1151751,24,8,3.4,54,53,0.29,89,8.2,4.73E+07,58
Indonesia,3310,228864,27,8,5.3,59,57,0.09,80,21.1,3.00E+07,72
Iran (Islamic Republic of),9800,70270,24,6,9.2,59,56,0,94,10.4,4300000,94
Iraq,,28506,19,5,3.4,51,49,0.21,77,2.2,574000,90
Ireland,34730,4221,34,15,17.3,72,68,13.69,,102.9,3780000,84
Israel,23840,6810,29,13,11.1,72,70,2.47,100,112.4,7187500,95
Italy,28970,58779,42,26,14.2,75,71,8.02,,123.1,6.28E+07,87
Jamaica,7050,2699,25,10,4.2,66,64,1.74,93,105.8,2200000,84
Japan,32840,127953,43,27,17.7,78,72,7.59,100,75.3,9.15E+07,99
Jordan,4820,5729,21,5,9.5,62,60,0.31,98,55,1594513,95
Kazakhstan,8700,15314,29,10,10.4,59,53,2.96,96,36.4,2758940,99
Kenya,1470,36553,18,4,6.1,45,44,1.51,57,13.5,2546157,69
Kiribati,6230,94,,6,13,56,52,0.45,65,0.61,526,56
"Korea, Dem. Rep.",,23708,32,14,6,60,58,3.26,100,,0,96
"Korea, Rep.",22990,48050,36,14,11.9,71,65,7.87,92,79.4,3.66E+07,99
Kuwait,48310,2779,29,3,4.9,67,67,0.03,,88.6,2000000,99
Kyrgyzstan,1790,5259,24,7,8.7,58,52,3.63,89,10.3,300000,99
Lao People's Democratic Republic,1740,5759,20,5,4.1,47,47,6.91,60,10.8,204191,41
Latvia,14840,2289,40,22,10.2,68,58,9.61,99,81.1,1536712,95
Lebanon,9600,4055,27,10,11.3,62,59,3.24,100,27.8,888000,96
Lesotho,1810,1995,19,7,7.8,33,30,1.82,78,13.9,159000,85
Liberia,260,3579,16,4,16.4,37,34,3.82,64,4.9,47250,94
Libyan Arab Jamahiriya,11630,6039,25,6,6.5,65,62,0.01,71,5,127000,97
Lithuania,14550,3408,38,21,13.3,68,59,9.89,,127.1,3421538,97
Luxembourg,60870,461,38,19,16.8,74,69,15.56,100,154.8,539000,95
"Macao, China",,,,,,,,,,115.8,378393.75,
Macedonia,7850,2036,35,16,16.5,65,62,5.69,100,62,776000,96
Madagascar,870,19159,18,5,9.2,50,47,1.59,47,2.7,333888,59
Malawi,690,13571,16,5,18,35,35,1.41,76,3.3,222135,82
Malaysia,12160,26114,25,7,7,65,62,1.06,99,75.2,1.46E+07,90
Maldives,4740,300,22,6,14,57,59,,83,87.9,113246,97
Mali,1000,11968,16,5,12.2,38,37,0.5,60,7.7,400000,86
Malta,20990,405,38,19,14.7,73,70,6.02,100,80.8,289992,86
Marshall Islands,8040,58,,6,15.1,56,54,,88,,,
Mauritania,1970,3044,20,5,5.3,46,43,0.01,60,24.3,522400,61
Mauritius,10640,1252,31,10,9.2,65,60,3.03,100,52.8,510000,98
Mexico,11990,105342,26,9,11,68,63,4.57,95,44,3.85E+07,96
Micronesia (Federated States of),6070,111,20,5,18.9,58,57,1.23,94,,,
Moldova,2660,3833,33,15,11.8,62,57,13.18,90,25.9,787000,97
Monaco,,33,,21,15.6,75,71,,,,,
Mongolia,2810,2605,25,6,11,58,53,2.83,72,21.1,319000,99
Montenegro,8930,601,35,18,20.1,,,,98,,,
Morocco,3860,30853,25,8,5.5,61,59,0.45,83,40.9,9336878,97
Mozambique,660,20971,18,5,12.6,38,36,0.52,42,7.6,708000,77
Myanmar,510,48379,27,8,1.8,53,50,0.33,80,0.3,92007,72
Namibia,4770,2047,20,5,10.1,44,43,5.97,93,24.4,286095,73
Nauru,,10,,6,25,57,53,0.87,,,,
Nepal,1010,27641,20,6,9.2,51,52,0.19,89,0.8,179126,74
Netherlands,37940,16379,39,20,16.4,73,70,9.68,100,97.2,1.48E+07,96
Netherlands Antilles,,,,,,,,,,78.84,175000,
New Caledonia,,,,,,,,,,56.6,101887.63,
New Zealand,25750,4140,36,17,18.6,72,69,9.68,97,87.6,3027000,82
Nicaragua,2720,5532,21,6,16,63,60,2.48,79,19.2,738624,96
Niger,630,13737,16,5,10.6,35,36,0.05,42,2.3,148276,83
Nigeria,1410,144720,18,5,3.5,42,41,10.57,47,14.1,9147209,35
Niue,,2,,8,10.8,62,59,9.47,100,,,
Norway,50070,4669,38,20,17.9,74,70,5.5,100,102.9,4163381,90
Oman,19740,2546,23,4,5.4,65,63,0.26,82,51.9,805000,98
Pakistan,2410,160943,21,6,1.3,52,54,0.01,90,8.3,5022908,78
Palau,14340,20,,6,16.4,60,59,,89,,,
Panama,8690,3288,26,9,11.5,68,64,5.98,92,52.5,855852,99
Papua New Guinea,1630,6202,20,4,7.3,52,51,1.62,40,1.3,15000,60
Paraguay,4040,6016,22,7,13.2,64,60,3.73,77,30.6,1767824,90
Peru,6490,27589,25,8,13.1,62,60,3.83,84,20,4092558,80
Philippines,3430,86264,22,6,6.4,62,57,3.51,93,41.3,3.29E+07,80
Poland,14250,38140,37,17,9.9,68,63,8.09,,75.7,2.31E+07,98
Portugal,19960,10579,39,22,15.5,72,67,11.54,99,109.1,1.03E+07,93
Puerto Rico,,,,,,,,,,84.8,2346750,
Qatar,,821,31,3,9.7,64,67,4.4,100,92.2,490333,99
Romania,10150,21532,37,19,12.4,65,61,9.74,88,61.8,1.02E+07,97
Russia,12740,143221,37,17,10.8,64,53,10.32,97,83.6,7.44E+07,99
Rwanda,730,9464,18,4,27.3,40,36,6.93,65,3.2,138728,89
Saint Kitts and Nevis,12440,50,,11,9.5,63,60,6.73,99,20.74,8750,99
Saint Lucia,8500,163,26,10,10.2,64,61,11.48,98,65.7,93000,94
Saint Vincent and the Grenadines,6220,120,25,9,9.3,62,60,7,,59.3,56950,97
Samoa,5090,185,20,7,10.5,60,59,1.73,88,13.4,10500,57
San Marino,,31,,26,13.3,76,71,,,,,
Sao Tome and Principe,1490,155,19,6,12.2,55,54,6.95,86,7.6,4819,88
Saudi Arabia,22300,24175,24,4,8.7,63,60,0,89,57.6,9175764,96
Senegal,1560,12072,19,6,6.7,49,47,0.46,77,14.8,1028061,74
Serbia,9320,9851,37,19,14.3,,,,99,,,
Seychelles,14360,86,,10,8.8,65,57,3.36,87,72.9,43076.25,99
Sierra Leone,610,5743,18,5,7.8,30,27,6.39,53,2.2,113214,67
Singapore,43300,4382,38,13,5.4,71,69,2.17,,100.8,3860600,96
Slovakia,17060,5388,36,16,13.8,69,63,10.35,100,84.1,4275164,98
Slovenia,23970,2001,41,21,13.5,72,67,6.74,,89.4,1739146,94
Solomon Islands,1850,484,20,5,12.6,57,55,0.97,70,1.3,1488,72
Somalia,,8445,18,4,4.2,38,36,0,29,6.1,500000,35
South Africa,8900,48282,24,7,9.9,45,43,6.72,93,71.6,1.95E+07,82
Spain,28200,43887,39,22,15.3,75,70,11.68,100,100,3.86E+07,97
Sri Lanka,3730,19207,30,10,8.3,64,59,0.28,82,16.2,2211158,99
Sudan,1780,37707,20,6,6.3,50,47,0.3,70,5.2,1048558,60
Suriname,7720,455,26,9,8,61,57,,92,51.8,212819,91
Swaziland,4700,1134,19,5,9.4,35,33,4.6,60,19.4,113000,60
Sweden,34310,9078,40,24,13.4,75,72,5.96,100,100.5,9302000,94
Switzerland,40840,7455,40,21,19.6,75,71,10.83,100,91.6,6275000,82
Syria,4110,19408,21,5,5.9,63,60,0.49,89,15.5,2345000,98
Taiwan,,,,,,,,,,,,
Tajikistan,1560,6640,20,5,5.5,56,53,0.39,67,4.1,47617,84
Tanzania,980,39459,18,5,13.3,41,40,5.45,55,8.8,1640000,91
Thailand,7440,63444,33,12,11.3,62,58,5.59,98,48.5,2.74E+07,96
Timor-Leste,5100,1114,17,5,16.4,52,48,,62,,,
Togo,770,6410,18,5,6.9,46,44,1.24,59,8.5,220000,70
Tonga,5470,100,21,9,11.1,62,62,0.75,100,29.8,3354,99
Trinidad and Tobago,16800,1328,29,10,6.9,64,60,4.17,94,61.3,647870,93
Tunisia,6490,10215,27,9,6.5,64,61,1.23,94,56.3,3562970,96
Turkey,8410,73922,27,8,16.5,63,61,1.37,97,59.6,3.47E+07,91
Turkmenistan,3990,4899,24,6,14.9,57,52,1.18,,2.2,9187,99
Tuvalu,,10,,8,16.1,53,53,1.37,93,,,
Uganda,880,29899,15,4,10,44,42,,64,4.6,1165035,86
Ukraine,6110,46557,39,21,8.8,64,55,6.09,97,64.5,1.37E+07,96
United Arab Emirates,31190,4248,30,2,8.7,64,64,0.02,100,100.8,3683117,92
United Kingdom,33650,60512,39,22,16.5,72,69,11.75,100,109.7,6.11E+07,82
United States of America,44070,302841,36,17,19.1,71,67,8.61,99,71.5,1.81E+08,93
Uruguay,9940,3331,33,18,9.2,69,63,7.74,100,35.5,600000,95
Uzbekistan,2190,26981,23,6,8,61,58,1.51,88,2.7,544100,99
Vanuatu,3480,221,20,5,10.9,59,58,0.75,59,5.8,10504,70
Venezuela,10970,27191,25,8,9.3,67,62,6.67,89,46.7,8420980,76
Vietnam,2310,86206,25,8,6.8,63,60,0.85,92,11.4,4960000,95
West Bank and Gaza,,,,,,,,,,29.6,974345,99
Yemen,2090,21732,17,4,5.6,51,48,0.04,66,9.5,1072000,76
Zambia,1140,11696,17,5,10.8,35,35,2.4,58,8.1,300000,84
Zimbabwe,,13228,19,5,8.9,33,34,4.41,81,5.6,397500,85
